"","JPM","ETN","NVDA","NEE","V","AMZN","MSFT","PGR","XOM","WELL","PG","WMT"
"2017-06-13",69.0152893066406,64.0520324707031,3.73717594146729,28.3103790283203,89.649169921875,49.0395011901855,64.3112487792969,33.6838073730469,56.4604187011719,54.5852508544922,69.6714935302734,23.054292678833
"2017-06-14",68.8729248046875,63.4040260314941,3.7450749874115,28.5531311035156,89.8754653930664,48.8235015869141,63.9653053283691,34.3017120361328,55.8546981811523,54.8061294555664,69.9721374511719,23.1644725799561
"2017-06-15",68.4617004394531,64.0772857666016,3.76111936569214,28.6987762451172,88.7911605834961,48.2084999084473,63.628547668457,34.5566024780273,55.984016418457,54.975456237793,70.7158584594727,22.8774452209473
"2017-06-16",68.1532897949219,64.6327209472656,3.74260568618774,28.8949947357178,88.7911605834961,49.3855018615723,63.7195739746094,34.6261100769043,56.8211135864258,55.6601638793945,70.9374008178711,21.8134536743164
"2017-06-19",69.6479415893555,65.7015151977539,3.88330578804016,28.8039665222168,89.3757629394531,49.7584991455078,64.5115051269531,34.5257034301758,56.3242988586426,56.1387176513672,71.0956344604492,21.8888263702393
"2017-06-20",69.213005065918,64.8515319824219,3.87762808799744,28.7169895172119,88.9891510009766,49.6295013427734,63.637638092041,34.3017120361328,56.0180244445801,56.632022857666,70.9136505126953,21.9004306793213
"2017-06-21",68.8966674804688,63.8921203613281,3.93637633323669,28.5349235534668,89.1399993896484,50.111499786377,63.9653053283691,34.3480491638184,55.4259452819824,56.8013572692871,70.7316970825195,22.1033725738525
"2017-06-22",68.8175582885742,63.7658805847168,3.90922403335571,28.6421432495117,88.5837249755859,50.064998626709,63.956241607666,34.0545539855957,55.1809387207031,57.051685333252,70.4389343261719,21.8946304321289
"2017-06-23",68.6910171508789,64.7000427246094,3.79715824127197,28.9556827545166,90.1206283569336,50.1870002746582,64.8210067749023,34.286262512207,55.5416526794434,57.0074996948242,70.7474899291992,21.6974792480469
"2017-06-26",68.9915618896484,64.6074676513672,3.75568842887878,29.1761837005615,89.7811889648438,49.6990013122559,64.2019882202148,34.4175605773926,55.2898406982422,57.1768417358398,70.7000198364258,21.8888263702393
"2017-06-27",69.6321182250977,64.3213272094727,3.61819863319397,28.7796936035156,89.4794845581055,48.8390007019043,63.0004425048828,34.4716339111328,55.2013511657715,56.3227958679199,70.1066436767578,22.0366821289062
